sr_no,close,high,low,open,tradeTime,volume,NASDAQ_Symbol
221,135.19,135.2,132.99,134.02,2019-02-04,3966597,IBM
222,135.55,135.82,134.92,135.28,2019-02-05,5398907,IBM
223,136.32,136.65,135.17,135.22,2019-02-06,4879670,IBM
224,133.19,134.47,132.12,133.55,2019-02-07,4379439,IBM
225,133.71,133.71,132.19,132.34,2019-02-08,3250074,IBM
226,133.99,135.15,133.91,134.29,2019-02-11,3095069,IBM
227,136.05,136.2,134.86,135.15,2019-02-12,3317161,IBM
228,137.52,137.92,136.41,136.92,2019-02-13,4253042,IBM
229,136.48,137.6019,136.21,137.17,2019-02-14,2789839,IBM
230,138.03,138.185,137.385,137.58,2019-02-15,3844062,IBM
231,138.7,138.7,137.36,137.81,2019-02-19,3385675,IBM
232,138,139.24,137.2203,138.76,2019-02-20,3801979,IBM
233,137.84,138.35,137.35,137.82,2019-02-21,2937467,IBM
234,139.25,139.38,138.43,138.73,2019-02-22,3113698,IBM
235,139.46,140.47,139.32,140,2019-02-25,3194161,IBM
236,139.72,140.49,139.47,139.67,2019-02-26,3060381,IBM
237,139.17,139.57,138.4007,139.25,2019-02-27,2530968,IBM
238,138.13,139.055,137.72,138.77,2019-02-28,3457788,IBM
239,139.2,140.04,138.64,139.31,2019-03-01,3030044,IBM
240,138.43,140.08,137.17,139.99,2019-03-04,3407217,IBM
241,137.88,138.74,137.555,138.37,2019-03-05,4250650,IBM
242,136.98,138.3892,136.72,138.12,2019-03-06,2768256,IBM
243,135.36,136.89,134.6343,136.61,2019-03-07,4358802,IBM
244,135.09,135.24,133.58,134.21,2019-03-08,3773722,IBM
245,137.71,137.73,135.84,136.03,2019-03-11,3939517,IBM
246,138.28,139.695,137.86,138.52,2019-03-12,3954653,IBM
247,138.56,139.325,137.85,138.05,2019-03-13,3173179,IBM
248,138.79,138.94,138.06,138.51,2019-03-14,2738790,IBM
249,139.43,140.33,139.23,139.37,2019-03-15,7153687,IBM
250,140.21,140.365,138.72,139.83,2019-03-18,3268510,IBM
251,140.49,141.7024,140.002,140.96,2019-03-19,3482336,IBM
252,139.6,140.7,138.98,140.53,2019-03-20,3649455,IBM
253,141.44,142.12,138.88,139.1,2019-03-21,3605420,IBM
254,139.45,141.44,138.9,140.97,2019-03-22,3877616,IBM
255,139.18,139.91,138.35,139.06,2019-03-25,2839766,IBM
256,140.22,141.02,139.42,139.93,2019-03-26,2553708,IBM
257,139.24,140.49,138.4,140.41,2019-03-27,3098233,IBM
258,139.92,140.44,139.1,139.91,2019-03-28,2663884,IBM
259,141.1,141.22,140.15,140.5,2019-03-29,3101454,IBM
260,143.3,143.41,141.51,141.51,2019-04-01,3984250,IBM
261,143,143.95,142.6,143.35,2019-04-02,2404920,IBM
262,143.63,144.22,143.01,143.65,2019-04-03,2681645,IBM
263,142.78,144.14,142.54,143.62,2019-04-04,2771462,IBM
264,143.28,143.5,142.46,143.29,2019-04-05,2731985,IBM
265,143.39,143.42,142.87,143.02,2019-04-08,2118228,IBM
266,142.11,142.95,141.84,142.66,2019-04-09,3038460,IBM
267,143.02,143.495,141.98,142.2,2019-04-10,2678310,IBM
268,143.78,144.11,143.03,143.8,2019-04-11,2941985,IBM
269,144.35,144.44,143.7,144.26,2019-04-12,2898899,IBM
270,143.9,144.4597,143.27,144.4,2019-04-15,3603158,IBM
271,145.14,145.39,144.02,144.4,2019-04-16,6301671,IBM
272,139.11,141.98,136.26,137.37,2019-04-17,12525693,IBM
273,140.33,140.49,138.7,139,2019-04-18,4960015,IBM
274,138.89,140.56,138.48,139.42,2019-04-22,4494333,IBM
275,140.44,140.92,138.9399,139.15,2019-04-23,4462240,IBM
276,139.95,141.31,139.78,140.6,2019-04-24,2774867,IBM
277,138.63,139.7482,137.71,139.7,2019-04-25,2910113,IBM
278,139.44,139.89,138.81,139.34,2019-04-26,2319834,IBM
279,139.05,139.63,138.81,139.15,2019-04-29,2958333,IBM
280,140.27,140.44,138.68,139.11,2019-04-30,4638828,IBM
281,140.56,141.81,140.17,140.55,2019-05-01,3053683,IBM
282,139.59,141.28,139.41,140.5,2019-05-02,3541352,IBM
283,140.25,141,139.63,139.7,2019-05-03,2580034,IBM
284,140.38,140.69,137.9,138.3,2019-05-06,2793655,IBM
285,137.64,139.51,136.19,139.15,2019-05-07,4726771,IBM
286,138,138.7,137.13,137.77,2019-05-08,3818909,IBM
287,135.34,135.5848,133.03,134.89,2019-05-09,4192942,IBM
288,135.32,135.75,132.42,134.88,2019-05-10,3977686,IBM
289,131.42,133.57,130.96,133.28,2019-05-13,4958021,IBM
290,133.31,134.32,131.68,131.82,2019-05-14,3280374,IBM
291,134.4,134.59,132.37,132.59,2019-05-15,2551009,IBM
292,135.88,136.11,134.64,134.74,2019-05-16,3017472,IBM
293,134.32,135.41,133.94,134.68,2019-05-17,2619135,IBM
294,135.12,135.43,132.9308,133.53,2019-05-20,3264649,IBM
295,136.45,137.06,135.79,136.12,2019-05-21,2503504,IBM
296,136.35,136.75,135.7116,136,2019-05-22,1849821,IBM
297,132.39,135.13,130.44,135.13,2019-05-23,5343437,IBM
298,132.28,134.245,131.59,133.53,2019-05-24,2596121,IBM
299,130.46,132.64,130.27,132.13,2019-05-28,4909121,IBM
300,129.69,130.28,128.32,130,2019-05-29,3678978,IBM
301,129.57,129.97,128.93,129.74,2019-05-30,2741880,IBM
302,126.99,128.44,126.85,128.44,2019-05-31,3539343,IBM
303,128.27,128.56,127.06,127.1,2019-06-03,4267080,IBM
304,132.69,132.74,129.085,129.56,2019-06-04,3913535,IBM
305,131.49,133.61,130.47,133.38,2019-06-05,3161584,IBM
306,132.22,132.65,130.9,132.19,2019-06-06,2298248,IBM
307,133.31,134.72,132.21,132.47,2019-06-07,2553398,IBM
308,134.74,135.3526,133.91,134.38,2019-06-10,2911327,IBM
309,135.95,136.46,135.05,135.32,2019-06-11,3407345,IBM
310,134.87,135.94,134.41,135.56,2019-06-12,2254741,IBM
311,135.76,136.27,135.09,135.13,2019-06-13,2955419,IBM
312,135.15,135.88,134.43,135.44,2019-06-14,2193367,IBM
313,134.95,136.03,134.7,135.39,2019-06-17,2194129,IBM
314,136.38,137.19,135.2,135.2,2019-06-18,2914698,IBM
315,137.08,138.36,136.24,136.43,2019-06-19,2382520,IBM
316,138.85,139.54,138.2,138.93,2019-06-20,3071017,IBM
317,139.2,139.54,138.39,138.44,2019-06-21,5288759,IBM
318,139.35,140.15,139.05,139.2,2019-06-24,2186137,IBM
319,138.36,139.55,138.13,139.46,2019-06-25,2801251,IBM
320,138.52,139.68,138.4073,138.87,2019-06-26,2284567,IBM
321,138.52,139.3,137.95,138.72,2019-06-27,2149824,IBM
322,137.9,139.14,137.84,138.57,2019-06-28,6154039,IBM
323,139.88,141.49,139.28,139.6,2019-07-01,3387184,IBM
324,140.22,140.43,139.47,139.75,2019-07-02,2410092,IBM
325,141.54,141.82,140.43,140.72,2019-07-03,1930361,IBM
326,141.38,141.49,139.91,140.87,2019-07-05,2135085,IBM
327,140.57,141.285,140.27,141.05,2019-07-08,2395487,IBM
328,139.33,140.99,139.13,140.61,2019-07-09,3365227,IBM
329,140.47,141.91,139.79,140,2019-07-10,2513931,IBM
330,141.24,141.58,140.3,140.79,2019-07-11,2133327,IBM
331,142.74,142.92,141.66,141.92,2019-07-12,2786276,IBM
